arm,population,outcome,n_replicates,mean,sd,ci_low,ci_high
co_mixed,IDHmut_TP53mut,log_growth_rate_per_min,10,0.00014968141176302275,1.1062988771164599e-05,0.0001433972567313746,0.00015636541315877745
co_mixed,IDHmut_TP53wt,log_growth_rate_per_min,10,9.702423024767249e-05,9.885607412169662e-06,9.119694141396905e-05,0.00010284007936553878
co_separated,IDHmut_TP53mut,log_growth_rate_per_min,10,0.00014170400224051911,1.5443404931684877e-05,0.00013264853319664056,0.00015064292782218013
co_separated,IDHmut_TP53wt,log_growth_rate_per_min,10,9.569641556025327e-05,1.3726829596635708e-05,8.763884019708674e-05,0.00010375014851859938
co_swapped,IDHmut_TP53mut,log_growth_rate_per_min,10,0.00014921007627830468,1.305530346911229e-05,0.00014122606502206127,0.00015640016298115023
co_swapped,IDHmut_TP53wt,log_growth_rate_per_min,10,0.00010355204291678936,1.4043005336784594e-05,9.480187921895085e-05,0.00011099415694090595
label_control,label_A,log_growth_rate_per_min,10,0.00010106092605712501,1.8075474610693325e-05,9.069665110022765e-05,0.00011182041600088471
label_control,label_B,log_growth_rate_per_min,10,9.856045049093905e-05,1.2782989268575543e-05,9.12029481980234e-05,0.0001062104053623673
mono_TP53mut,IDHmut_TP53mut,log_growth_rate_per_min,10,0.0001420342856830553,1.0678505612995098e-05,0.00013575468297934826,0.00014827388485836996
mono_TP53wt,IDHmut_TP53wt,log_growth_rate_per_min,10,9.189194249355905e-05,1.7325891607486007e-05,8.152237838445658e-05,0.00010176029728497466
co_mixed,IDHmut_TP53mut,n_end,10,325.4,24.061033505095605,312.1,339.8
co_mixed,IDHmut_TP53wt,n_end,10,219.4,17.920813473599786,209.7,230.5
co_separated,IDHmut_TP53mut,n_end,10,314.1,31.52230251037439,295.9,332.5
co_separated,IDHmut_TP53wt,n_end,10,212.6,24.717065629506536,197.9,226.9
co_swapped,IDHmut_TP53mut,n_end,10,326.1,27.565880682063792,309.1975,341.3
co_swapped,IDHmut_TP53wt,n_end,10,224.0,24.886408606573454,208.8,238.0
label_control,label_A,n_end,10,225.0,29.427877939124322,208.2,242.6
label_control,label_B,n_end,10,221.2,21.998989875800106,208.7,234.4
mono_TP53mut,IDHmut_TP53mut,n_end,10,311.2,24.773641906940796,296.0975,325.70249999999993
mono_TP53wt,IDHmut_TP53wt,n_end,10,208.6,26.370016643486935,193.0,224.2
co_mixed,IDHmut_TP53mut,log2_fold_change,10,1.698740050651742,0.10499730848407504,1.6402407923060445,1.7628127135570042
co_mixed,IDHmut_TP53wt,log2_fold_change,10,1.1293612232006995,0.11526680195811154,1.0659327829736567,1.1990505160667986
co_separated,IDHmut_TP53mut,log2_fold_change,10,1.644668903999456,0.14519981891431188,1.5585848545976273,1.7280157676858519
co_separated,IDHmut_TP53wt,log2_fold_change,10,1.079036412232531,0.1724962780934207,0.9762579333969753,1.1765054834836601
co_swapped,IDHmut_TP53mut,log2_fold_change,10,1.7004764987987913,0.12584627046909613,1.6240172091465541,1.7693221255376226
