arm,seed,population,rate_coculture,rate_monoculture,competition_coefficient
co_mixed,20260907,IDHmut_TP53mut,0.00017107242310931823,0.00014694681278609427,2.4125610323223957e-05
co_mixed,20260907,IDHmut_TP53wt,9.639276982281702e-05,0.00011528058615336418,-1.8887816330547157e-05
co_mixed,20260908,IDHmut_TP53mut,0.00013024575912516087,0.00014667519821645573,-1.642943909129486e-05
co_mixed,20260908,IDHmut_TP53wt,0.00010894043846210688,6.512587936084052e-05,4.381455910126637e-05
co_mixed,20260909,IDHmut_TP53mut,0.0001489730725599552,0.00012832872539470002,2.0644347165255176e-05
co_mixed,20260909,IDHmut_TP53wt,9.112240382994054e-05,8.036605136365494e-05,1.07563524662856e-05
co_mixed,20260910,IDHmut_TP53mut,0.00015624959820269502,0.00014536818999858264,1.0881408204112378e-05
co_mixed,20260910,IDHmut_TP53wt,0.00011033471405188715,9.72536951986513e-05,1.3081018853235846e-05
co_mixed,20260911,IDHmut_TP53mut,0.00014351592399623284,0.00012968399097389857,1.3831933022334262e-05
co_mixed,20260911,IDHmut_TP53wt,8.749759287903042e-05,6.991244543332285e-05,1.758514744570757e-05
co_mixed,20260912,IDHmut_TP53mut,0.0001434048874489163,0.00015791066165515844,-1.4505774206242136e-05
co_mixed,20260912,IDHmut_TP53wt,8.511979200496795e-05,8.628214964774008e-05,-1.1623576427721277e-06
co_mixed,20260913,IDHmut_TP53mut,0.00015877900511267084,0.00015288333186482615,5.895673247844691e-06
co_mixed,20260913,IDHmut_TP53wt,8.37484183559508e-05,8.903364799612696e-05,-5.285229640176152e-06
co_mixed,20260914,IDHmut_TP53mut,0.00014748529795147663,0.00013557242008300574,1.1912877868470886e-05
co_mixed,20260914,IDHmut_TP53wt,9.787620921219849e-05,9.393837255693278e-05,3.937836655265711e-06
co_mixed,20260915,IDHmut_TP53mut,0.00015378623685395238,0.00012867784841768843,2.5108388436263952e-05
co_mixed,20260915,IDHmut_TP53wt,0.00010399232401087087,0.00010699788547438956,-3.0055614635186926e-06
co_mixed,20260916,IDHmut_TP53mut,0.0001433019132698492,0.00014829567744014345,-4.993764170294247e-06
co_mixed,20260916,IDHmut_TP53wt,0.00010521763984695475,0.0001147287117505673,-9.511071903612551e-06
co_separated,20260907,IDHmut_TP53mut,0.00014403352105246702,0.00014694681278609427,-2.91329173362725e-06
co_separated,20260907,IDHmut_TP53wt,0.00012020067455205155,0.00011528058615336418,4.920088398687378e-06
co_separated,20260908,IDHmut_TP53mut,0.00015913681507366602,0.00014667519821645573,1.2461616857210292e-05
co_separated,20260908,IDHmut_TP53wt,9.808620671172897e-05,6.512587936084052e-05,3.296032735088846e-05
co_separated,20260909,IDHmut_TP53mut,0.00011378275003105835,0.00012832872539470002,-1.4545975363641664e-05
co_separated,20260909,IDHmut_TP53wt,7.843976857350943e-05,8.036605136365494e-05,-1.926282790145516e-06
co_separated,20260910,IDHmut_TP53mut,0.00014366681166280904,0.00014536818999858264,-1.7013783357736013e-06
co_separated,20260910,IDHmut_TP53wt,0.0001081679629289722,9.72536951986513e-05,1.0914267730320902e-05
co_separated,20260911,IDHmut_TP53mut,0.00013057618774354085,0.00012968399097389857,8.921967696422781e-07
co_separated,20260911,IDHmut_TP53wt,0.00010504179624047747,6.991244543332285e-05,3.5129350807154615e-05
co_separated,20260912,IDHmut_TP53mut,0.0001336430882438607,0.00015791066165515844,-2.4267573411297736e-05
co_separated,20260912,IDHmut_TP53wt,8.594745261406254e-05,8.628214964774008e-05,-3.346970336775358e-07
co_separated,20260913,IDHmut_TP53mut,0.0001375668962224477,0.00015288333186482615,-1.5316435642378454e-05
co_separated,20260913,IDHmut_TP53wt,9.72513029606789e-05,8.903364799612696e-05,8.217654964551947e-06
co_separated,20260914,IDHmut_TP53mut,0.00013281040699306238,0.00013557242008300574,-2.7620130899433664e-06
co_separated,20260914,IDHmut_TP53wt,0.00010030645412436607,9.393837255693278e-05,6.368081567433286e-06
co_separated,20260915,IDHmut_TP53mut,0.00015698652925447812,0.00012867784841768843,2.8308680836789697e-05
co_separated,20260915,IDHmut_TP53wt,7.71838079919718e-05,0.00010699788547438956,-2.9814077482417763e-05
co_separated,20260916,IDHmut_TP53mut,0.00016483701612780114,0.00014829567744014345,1.654133868765769e-05
co_separated,20260916,IDHmut_TP53wt,8.633872890471371e-05,0.0001147287117505673,-2.8389982845853588e-05
co_swapped,20260907,IDHmut_TP53mut,0.00015239812332572923,0.00014694681278609427,5.451310539634954e-06
co_swapped,20260907,IDHmut_TP53wt,0.00010571969495874127,0.00011528058615336418,-9.56089119462291e-06
co_swapped,20260908,IDHmut_TP53mut,0.00012707545752697216,0.00014667519821645573,-1.959974068948357e-05
co_swapped,20260908,IDHmut_TP53wt,0.00011170357769391232,6.512587936084052e-05,4.65776983330718e-05
