arm,seed,shannon_start,shannon_end,shannon_change,n_total_end,min_oxygen_mmHg
co_mixed,20260907,0.6931471805599453,0.6520475862917009,-0.04109959426824439,576,10.774861748356296
co_mixed,20260908,0.6931471805599453,0.6912352179135792,-0.001911962646366061,550,11.169664827639172
co_mixed,20260909,0.6931471805599453,0.6776541476499724,-0.015493032909972837,524,11.369666861473464
co_mixed,20260910,0.6931471805599453,0.6744208622431518,-0.0187263183167935,565,11.053801938184229
co_mixed,20260911,0.6931471805599453,0.6640255663014792,-0.029121614258466044,508,11.51581259955013
co_mixed,20260912,0.6931471805599453,0.6751627604862964,-0.017984420073648866,513,11.532345306645439
co_mixed,20260913,0.6931471805599453,0.6591525038229908,-0.03399467673695444,567,11.136829231655915
co_mixed,20260914,0.6931471805599453,0.6721054305358112,-0.02104175002413411,543,11.143580521195332
co_mixed,20260915,0.6931471805599453,0.6777555495642991,-0.015391630995646222,560,10.973446635870953
co_mixed,20260916,0.6931471805599453,0.6805054830322587,-0.012641697527686624,542,11.405684888341312
co_separated,20260907,0.6931471805599453,0.6862232790396139,-0.006923901520331399,553,13.57428245627724
co_separated,20260908,0.6931471805599453,0.6671681879200553,-0.02597899263989001,564,13.328111529132842
co_separated,20260909,0.6931471805599453,0.6724405061733967,-0.020706674386548607,429,15.12508142915939
co_separated,20260910,0.6931471805599453,0.6853988789206475,-0.007748301639297739,555,13.708156821042586
co_separated,20260911,0.6931471805599453,0.6823601325116839,-0.01078704804826136,532,13.897279740540924
co_separated,20260912,0.6931471805599453,0.6644813323173331,-0.028665848242612202,491,14.02978515926304
co_separated,20260913,0.6931471805599453,0.682591955289765,-0.010555225270180268,524,13.96671644452036
co_separated,20260914,0.6931471805599453,0.6830670780753949,-0.01008010248455038,515,13.998088736876113
co_separated,20260915,0.6931471805599453,0.6484356441672354,-0.04471153639270986,529,13.630799453568152
co_separated,20260916,0.6931471805599453,0.6513906359112049,-0.041756544648740346,575,12.703240910820732
co_swapped,20260907,0.6931471805599453,0.6686996168320491,-0.024447563727896138,554,13.470621328599053
co_swapped,20260908,0.6931471805599453,0.6897110461396968,-0.0034361344202484823,519,14.209570781089198
co_swapped,20260909,0.6931471805599453,0.6849764189387372,-0.008170761621208111,564,13.40703375757567
co_swapped,20260910,0.6931471805599453,0.6811055247099822,-0.012041655849963084,523,13.931210206691174
co_swapped,20260911,0.6931471805599453,0.6812265854947217,-0.011920595065223583,610,12.614698532253056
co_swapped,20260912,0.6931471805599453,0.6793647489415683,-0.013782431618377,489,14.252102163467326
co_swapped,20260913,0.6931471805599453,0.6769838062831859,-0.0161633742767594,580,13.025912040646443
co_swapped,20260914,0.6931471805599453,0.6625862810543423,-0.030560899505603034,557,13.169264985704988
co_swapped,20260915,0.6931471805599453,0.6356183577384666,-0.05752882282147864,518,13.574961746713438
co_swapped,20260916,0.6931471805599453,0.6745020642604016,-0.018645116299543685,587,13.154138878607878
label_control,20260907,0.6931471805599453,0.6903600056079885,-0.0027871749519567945,402,16.40985590200555
label_control,20260908,0.6931471805599453,0.6929389195380611,-0.00020826102188420403,392,16.342575889689947
label_control,20260909,0.6931471805599453,0.689525419350252,-0.003621761209693264,435,15.76219422872096
label_control,20260910,0.6931471805599453,0.6923530308973512,-0.000794149662594057,527,14.429640748209415
label_control,20260911,0.6931471805599453,0.6931250566117529,-2.212394819234298e-05,451,15.773521975087966
label_control,20260912,0.6931471805599453,0.6923762705570657,-0.0007709100028795435,433,15.841211534321673
label_control,20260913,0.6931471805599453,0.6874571622202588,-0.00569001833968652,441,15.637846787518594
label_control,20260914,0.6931471805599453,0.692999108512335,-0.00014807204761024817,523,14.593896777918502
label_control,20260915,0.6931471805599453,0.6922197172194244,-0.000927463340520851,418,16.43397862393254
label_control,20260916,0.6931471805599453,0.6924858777484906,-0.0006613028114547115,440,15.60406193708722
mono_TP53mut,20260907,-0.0,-0.0,0.0,337,14.825207631542325
mono_TP53mut,20260908,-0.0,-0.0,0.0,305,15.405264556941148
mono_TP53mut,20260909,-0.0,-0.0,0.0,282,15.733342286517162
mono_TP53mut,20260910,-0.0,-0.0,0.0,323,14.50537926296972
mono_TP53mut,20260911,-0.0,-0.0,0.0,285,15.385554633265201
mono_TP53mut,20260912,-0.0,-0.0,0.0,331,14.453135257870644
mono_TP53mut,20260913,-0.0,-0.0,0.0,338,14.330026065512069
mono_TP53mut,20260914,-0.0,-0.0,0.0,304,15.283665267861371
mono_TP53mut,20260915,-0.0,-0.0,0.0,273,15.737453075174425
mono_TP53mut,20260916,-0.0,-0.0,0.0,334,14.360387214595098
mono_TP53wt,20260907,-0.0,-0.0,0.0,240,16.92788600449103
mono_TP53wt,20260908,-0.0,-0.0,0.0,170,19.10432210678863
mono_TP53wt,20260909,-0.0,-0.0,0.0,190,18.46017532439686
mono_TP53wt,20260910,-0.0,-0.0,0.0,213,17.652935730268844
mono_TP53wt,20260911,-0.0,-0.0,0.0,175,19.02531752648829
mono_TP53wt,20260912,-0.0,-0.0,0.0,196,18.250896059246223
mono_TP53wt,20260913,-0.0,-0.0,0.0,208,17.818202248395316
mono_TP53wt,20260914,-0.0,-0.0,0.0,214,18.06491447720681
mono_TP53wt,20260915,-0.0,-0.0,0.0,232,17.267905367555905
mono_TP53wt,20260916,-0.0,-0.0,0.0,248,16.455883410033007
