arm,population,n_replicates,expected_log_growth_rate_per_min,observed_log_growth_rate_per_min,relative_error,expected_n_end,observed_n_end_mean,passes
mono_TP53mut,IDHmut_TP53mut,10,0.00014608517463718043,0.0001420342856830553,-0.027729637618505595,318.03605889858846,311.2,True
mono_TP53wt,IDHmut_TP53wt,10,9.823514463718044e-05,9.189194249355905e-05,-0.06457161708316554,217.716233029949,208.6,True
