x,y,population,time_days
192.7188,49.4232,IDHmut_TP53mut,0.0
203.2662,-14.8857,IDHmut_TP53mut,0.0
162.7366,-31.8084,IDHmut_TP53mut,0.0
166.4037,-3.5367,IDHmut_TP53mut,0.0
160.347,-25.3738,IDHmut_TP53mut,0.0
229.6069,14.6062,IDHmut_TP53mut,0.0
238.5784,-18.0399,IDHmut_TP53mut,0.0
165.7571,-18.734,IDHmut_TP53mut,0.0
201.5205,-34.3768,IDHmut_TP53mut,0.0
223.0427,-23.0145,IDHmut_TP53mut,0.0
210.2141,40.1504,IDHmut_TP53mut,0.0
233.571,-10.8253,IDHmut_TP53mut,0.0
194.5511,-34.4528,IDHmut_TP53mut,0.0
246.1928,15.0436,IDHmut_TP53mut,0.0
160.7192,18.4749,IDHmut_TP53mut,0.0
196.4295,42.2755,IDHmut_TP53mut,0.0
186.9123,12.6783,IDHmut_TP53mut,0.0
197.2118,27.3239,IDHmut_TP53mut,0.0
236.1929,-19.7495,IDHmut_TP53mut,0.0
213.5302,40.2572,IDHmut_TP53mut,0.0
229.2512,-14.515,IDHmut_TP53mut,0.0
211.8821,-8.5098,IDHmut_TP53mut,0.0
221.9556,11.0054,IDHmut_TP53mut,0.0
181.7523,-27.8512,IDHmut_TP53mut,0.0
200.2578,-9.3162,IDHmut_TP53mut,0.0
172.2873,-15.6294,IDHmut_TP53mut,0.0
158.4768,-16.806,IDHmut_TP53mut,0.0
166.6173,24.2051,IDHmut_TP53mut,0.0
179.7319,5.1714,IDHmut_TP53mut,0.0
244.2572,20.0103,IDHmut_TP53mut,0.0
177.543,1.9927,IDHmut_TP53mut,0.0
205.939,25.0552,IDHmut_TP53mut,0.0
189.1078,-2.67,IDHmut_TP53mut,0.0
177.7549,-44.4707,IDHmut_TP53mut,0.0
216.7829,-43.0705,IDHmut_TP53mut,0.0
179.5265,31.9755,IDHmut_TP53mut,0.0
191.853,-22.2109,IDHmut_TP53mut,0.0
234.6939,3.0157,IDHmut_TP53mut,0.0
177.6654,30.6675,IDHmut_TP53mut,0.0
220.8112,-38.5311,IDHmut_TP53mut,0.0
173.896,1.6293,IDHmut_TP53mut,0.0
212.3084,-46.1851,IDHmut_TP53mut,0.0
242.2907,6.8566,IDHmut_TP53mut,0.0
176.9639,36.7542,IDHmut_TP53mut,0.0
215.8473,25.2028,IDHmut_TP53mut,0.0
192.7,-47.0969,IDHmut_TP53mut,0.0
203.3173,29.9566,IDHmut_TP53mut,0.0
192.44,33.4389,IDHmut_TP53mut,0.0
219.638,-34.5439,IDHmut_TP53mut,0.0
212.3747,15.7645,IDHmut_TP53mut,0.0
169.9959,-28.0426,IDHmut_TP53mut,0.0
230.7752,-35.0424,IDHmut_TP53mut,0.0
209.2675,15.4571,IDHmut_TP53mut,0.0
197.6162,-13.8312,IDHmut_TP53mut,0.0
218.0475,-42.4584,IDHmut_TP53mut,0.0
204.9844,24.7729,IDHmut_TP53mut,0.0
223.617,-1.628,IDHmut_TP53mut,0.0
186.9614,-47.5393,IDHmut_TP53mut,0.0
205.6249,35.4518,IDHmut_TP53mut,0.0
195.2045,-34.4946,IDHmut_TP53mut,0.0
183.1248,12.8547,IDHmut_TP53mut,0.0
245.7025,14.0808,IDHmut_TP53mut,0.0
233.348,0.6329,IDHmut_TP53mut,0.0
228.8852,24.3937,IDHmut_TP53mut,0.0
236.1,-24.2122,IDHmut_TP53mut,0.0
173.1598,-38.8007,IDHmut_TP53mut,0.0
218.8119,45.9623,IDHmut_TP53mut,0.0
211.1908,17.6769,IDHmut_TP53mut,0.0
228.0569,-8.8414,IDHmut_TP53mut,0.0
204.1712,-14.9402,IDHmut_TP53mut,0.0
196.2418,-5.5788,IDHmut_TP53mut,0.0
215.9696,-46.543,IDHmut_TP53mut,0.0
214.9051,29.7068,IDHmut_TP53mut,0.0
228.8186,-35.0597,IDHmut_TP53mut,0.0
169.1794,-1.1675,IDHmut_TP53mut,0.0
191.0619,45.4876,IDHmut_TP53mut,0.0
189.5813,-10.3362,IDHmut_TP53mut,0.0
189.5993,-0.8313,IDHmut_TP53mut,0.0
224.7497,7.7108,IDHmut_TP53mut,0.0
197.2275,34.8757,IDHmut_TP53mut,0.0
154.7329,0.6294,IDHmut_TP53mut,0.0
215.1731,16.9888,IDHmut_TP53mut,0.0
211.2118,23.2662,IDHmut_TP53mut,0.0
-141.80076784594038,77.83171544004674,IDHmut_TP53wt,3.25
-163.7328470983613,-99.29139934262254,IDHmut_TP53wt,3.25
-190.9459671727079,86.80420245229767,IDHmut_TP53wt,3.25
-167.30174562767488,-57.17496363597012,IDHmut_TP53wt,3.25
-208.45405623104844,72.51222777883137,IDHmut_TP53wt,3.25
-170.0010483824553,-84.79900118139122,IDHmut_TP53wt,3.25
-113.40006802042556,17.6290524457448,IDHmut_TP53wt,3.25
-215.51420660041188,-53.4412146234481,IDHmut_TP53wt,3.25
-215.64044637556395,-108.80984820406357,IDHmut_TP53wt,3.25
208.0625105791044,-54.92806273463174,IDHmut_TP53mut,3.25
