population,time_days,mean,std_x,count_x,observed_doubling_days,std_y,count_y
IDHmut_TP53mut,0.0,0.05,0.0,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,0.25,0.05061669829222012,0.0007762768949167343,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,0.5,0.05095802919708029,0.0006817673896429405,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,0.75,0.05137374618403838,0.001296973863828783,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,1.0,0.05223568742164647,0.001868840766819714,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,1.25,0.05287769784172662,0.0027176298106521787,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,1.5,0.05273004963726613,0.002660322387571972,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,1.75,0.05301516833148354,0.00262789767415589,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,2.0,0.053295535081502476,0.00271520822361344,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,2.25,0.05349072512647555,0.0029667669261465063,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,2.5,0.053649870801033596,0.002870661933624803,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,2.75,0.05409329626197096,0.0035116177141962784,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,3.0,0.05458579881656804,0.003450972032923606,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,3.25,0.05499432463110102,0.003990286180332859,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,3.5,0.05551630434782608,0.004266006251316784,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,3.75,0.056110965715781204,0.0045916940929589195,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,4.0,0.05656816488701266,0.0047374271745350615,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,4.25,0.05706174591909156,0.004949628023033493,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,4.5,0.05749435665914221,0.0048015807432874895,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,4.75,0.058013446107135117,0.005191120786321484,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,5.0,0.058426501035196685,0.0058026855355992465,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,5.25,0.05897435897435897,0.005974098400496364,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53mut,5.5,0.05963546610973989,0.005984868522949381,10,3.4345554157001716,0.3871334286624076,10
IDHmut_TP53wt,0.0,0.05,0.0,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,0.25,0.04938330170777989,0.001105764309743651,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,0.5,0.04904197080291971,0.002153254601354363,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,0.75,0.048626253815961626,0.0020273768979475735,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,1.0,0.04776431257835353,0.0019997469475980614,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,1.25,0.047122302158273385,0.0018977214367779795,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,1.5,0.04726995036273387,0.0024732000104856536,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,1.75,0.04698483166851646,0.0028868417587173826,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,2.0,0.046704464918497515,0.0029638354996573946,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,2.25,0.04650927487352445,0.0036305747368177168,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,2.5,0.0463501291989664,0.0037273211397747127,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,2.75,0.04590670373802904,0.00364133410164771,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,3.0,0.04541420118343195,0.0038125013372934317,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,3.25,0.045005675368898976,0.003986696985830675,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,3.5,0.044483695652173916,0.0030638176901505265,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,3.75,0.043889034284218795,0.0029584859376373287,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,4.0,0.04343183511298734,0.0034813585696746524,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,4.25,0.04293825408090844,0.003675584318719792,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,4.5,0.04250564334085779,0.003895386173621615,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,4.75,0.04198655389286489,0.004179389375747215,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,5.0,0.041573498964803314,0.0042652113562958475,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,5.25,0.041025641025641026,0.004358005388690273,10,5.124164997718902,0.7361409084220455,10
IDHmut_TP53wt,5.5,0.04036453389026011,0.004692816713405456,10,5.124164997718902,0.7361409084220455,10
