population,time_days,mean,std_x,count_x,fold_change_mean,std_y,count_y
IDHmut_TP53mut,0.0,100.0,0.0,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,0.25,106.7,1.636391694484476,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,0.5,111.7,1.4944341180973248,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,0.75,117.8,2.9739610697593966,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,1.0,125.0,4.472135954999576,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,1.25,132.3,6.799509786251748,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,1.5,138.1,6.967384333050992,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,1.75,143.3,7.103207413243368,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,2.0,150.4,7.662317607037123,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,2.25,158.6,8.796463936024393,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,2.5,166.1,8.887569346502392,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,2.75,175.1,11.367106540853355,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,3.0,184.5,11.664285471281794,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,3.25,193.8,14.061768499492995,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,3.5,204.3,15.698903004845771,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,3.75,214.4,17.544863129196028,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,4.0,227.8,19.077619231852683,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,4.25,241.2,20.92207765336257,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,4.5,254.7,21.27100269276358,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,4.75,267.5,23.936257945728364,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,5.0,282.2,28.026971136944336,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,5.25,296.7,30.055689052897197,10,3.141,0.31522302510374384,10
IDHmut_TP53mut,5.5,314.1,31.52230251037438,10,3.141,0.31522302510374384,10
IDHmut_TP53wt,0.0,100.0,0.0,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,0.25,104.1,2.330951164939613,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,0.5,107.5,4.719934086168766,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,0.75,111.5,4.648775226993784,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,1.0,114.3,4.78539444560216,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,1.25,117.9,4.748099034818504,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,1.5,123.8,6.477310827461931,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,1.75,127.0,7.803133273813082,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,2.0,131.8,8.363943780033171,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,2.25,137.9,10.76465409466453,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,2.5,143.5,11.539786248742507,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,2.75,148.6,11.786998487033642,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,3.0,153.5,12.886254520051802,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,3.25,158.6,14.049120178067305,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,3.5,163.7,11.27484909975394,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,3.75,167.7,11.304374767712227,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,4.0,174.9,14.019430960079815,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,4.25,181.5,15.536694915228555,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,4.5,188.3,17.256560749143755,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,4.75,193.6,19.2711644115704,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,5.0,200.8,20.600970850908944,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,5.25,206.4,21.925125110500762,10,2.1260000000000003,0.24717065629506538,10
IDHmut_TP53wt,5.5,212.6,24.717065629506536,10,2.1260000000000003,0.24717065629506538,10
