population,x,y
IDHmut_TP53mut,280.9065844761209,-50.6322686791652
IDHmut_TP53mut,255.6446700542994,-34.597556791268524
IDHmut_TP53mut,198.20416799581463,-56.14227468836627
IDHmut_TP53mut,76.7392465099837,-61.80391766610001
IDHmut_TP53mut,157.78887806051114,108.00135498525862
IDHmut_TP53mut,246.70830680157684,129.4371797071016
IDHmut_TP53mut,217.12134644578668,164.71271335795552
IDHmut_TP53mut,172.17914735023783,68.61957923132954
IDHmut_TP53mut,121.54645695356476,129.43014704466128
IDHmut_TP53mut,92.17142081956068,-57.93358465792212
IDHmut_TP53mut,125.6917275499716,62.803333466375
IDHmut_TP53mut,238.04777918923003,82.83743398415824
IDHmut_TP53mut,280.3292266273035,4.049817566756581
IDHmut_TP53mut,234.46528292157313,26.367794840560734
IDHmut_TP53mut,162.24261926683008,80.92846055971079
IDHmut_TP53mut,289.5597546192458,97.23050875488339
IDHmut_TP53mut,281.35148276100404,-76.96638816009352
IDHmut_TP53mut,216.19878063604102,69.10690670838342
IDHmut_TP53mut,197.6771909791328,-14.044239880712748
IDHmut_TP53mut,212.60378322240047,-8.844454176936628
IDHmut_TP53mut,189.2816503259164,113.11628191064173
IDHmut_TP53mut,198.8346794642748,100.45422913828021
IDHmut_TP53mut,89.8250432630904,-7.474700805721269
IDHmut_TP53mut,270.80215616600066,-38.14314182171758
IDHmut_TP53mut,210.36530451669165,133.65065171778807
IDHmut_TP53mut,266.32620376750896,7.91741635053259
IDHmut_TP53mut,201.03698027612424,1.0799494086367023
IDHmut_TP53mut,104.5667697531806,-2.6338372589606225
IDHmut_TP53mut,274.4879269459581,-23.55383718180536
IDHmut_TP53mut,200.02606520873974,-106.30522544078863
IDHmut_TP53mut,320.4698749999687,2.54971774782316
IDHmut_TP53mut,201.4047992319834,-42.115166819765214
IDHmut_TP53mut,95.85847580960144,-92.09774557434797
IDHmut_TP53mut,119.27645165585373,2.272189039585953
IDHmut_TP53mut,81.21998490663997,-46.364450253704234
IDHmut_TP53mut,271.06361366439097,33.43972444670311
IDHmut_TP53mut,317.0759657625555,-33.47055725066911
IDHmut_TP53mut,97.36434262373311,-42.95233285165335
IDHmut_TP53mut,213.5700022213122,-79.82576552667315
IDHmut_TP53mut,164.554151026593,-73.74126016527858
IDHmut_TP53mut,228.78490833966615,109.31726552768382
IDHmut_TP53mut,285.97243937900623,-36.210023208681534
IDHmut_TP53mut,154.70348964449377,-103.96701627600159
IDHmut_TP53mut,286.51277484688364,35.61009983401403
IDHmut_TP53mut,72.84227310875933,45.61411046449236
IDHmut_TP53mut,177.95056159243387,83.24654959545913
IDHmut_TP53mut,189.56556570715694,11.25636905986752
IDHmut_TP53mut,192.232601190507,27.24441762064585
IDHmut_TP53mut,301.45308452223514,-34.86104639290069
IDHmut_TP53mut,273.94571010421777,123.75956912825522
IDHmut_TP53mut,241.42493628344366,-40.15912587250451
IDHmut_TP53mut,227.66784614766573,-3.8315178601473976
IDHmut_TP53mut,252.73595656694246,0.9183324833267377
IDHmut_TP53mut,140.92120381108808,-58.23944660277015
IDHmut_TP53mut,209.2604559297028,-24.07671689879938
IDHmut_TP53mut,136.0895297564278,-34.38357185037013
IDHmut_TP53mut,71.45980492432096,-31.629487907572013
IDHmut_TP53mut,98.71820325087361,61.502354223861055
IDHmut_TP53mut,107.99197580974169,13.463471616919422
IDHmut_TP53mut,305.5482583167951,55.906155371394874
IDHmut_TP53mut,156.29287959779685,-14.197253444997436
IDHmut_TP53mut,194.96252659149354,43.01001987188233
IDHmut_TP53mut,167.95620547480826,-24.50371873367337
IDHmut_TP53mut,144.84237045593682,-116.55536762621232
IDHmut_TP53mut,241.73845132227248,-107.36269406347365
IDHmut_TP53mut,124.83812269407518,101.9859921372958
IDHmut_TP53mut,178.0357844979361,-66.27479972805537
IDHmut_TP53mut,141.07808609655004,-19.512260999138483
IDHmut_TP53mut,140.12115097530113,65.59085719795073
IDHmut_TP53mut,252.28864960465395,-66.32666757627462
IDHmut_TP53mut,84.05948716197352,34.27786430023167
IDHmut_TP53mut,207.07981767215284,-120.18944903845725
IDHmut_TP53mut,323.83152360694174,17.824125501342632
IDHmut_TP53mut,108.78205621462317,100.52850296689145
IDHmut_TP53mut,296.2070841093699,82.2372169748214
IDHmut_TP53mut,198.26567964991037,-84.00341113260173
IDHmut_TP53mut,187.79892584762172,70.29754993744012
IDHmut_TP53mut,167.84769813682706,95.69849082920562
IDHmut_TP53mut,209.56235064733016,-94.59611361089048
IDHmut_TP53mut,226.86818087015865,53.104382383557926
IDHmut_TP53mut,87.87436183310191,-73.30105597098652
IDHmut_TP53mut,295.378446598513,-83.38635758398021
IDHmut_TP53mut,219.52935795954392,21.578275973138062
IDHmut_TP53mut,179.55137041226627,-34.72756188094586
IDHmut_TP53mut,279.337720666732,-125.6199046127638
IDHmut_TP53mut,186.13866068560532,-4.062597019410926
IDHmut_TP53mut,257.94714216721087,-19.593194283981717
IDHmut_TP53mut,204.1213311254087,-135.28102784591235
IDHmut_TP53mut,203.04113219484822,73.75058923753546
IDHmut_TP53mut,182.49513680712747,-81.0751245944298
