time_days,mean,lo,hi
0.0,38.0,38.0,38.0
0.25,32.9117353228903,17.353205162724404,38.0
0.5,32.813721292223164,17.036030725074173,38.0
0.75,32.71657343746381,16.797750813309232,38.0
1.0,32.60203413556955,16.605376802033145,38.0
1.25,32.48742221848928,16.34680596657221,38.0
1.5,32.37025852292399,15.9815666506576,38.0
1.75,32.256340043083725,15.726094087597675,38.0
2.0,32.15893734765181,15.702598114577638,38.0
2.25,32.03496900808071,15.339582591914194,38.0
2.5,31.907025486152666,14.825108184778413,38.0
2.75,31.766732354185024,14.27820188522759,38.0
3.0,31.633774625158058,13.993771769578215,38.0
3.25,31.48357678346325,13.66379770046657,38.0
3.5,31.339224828996677,13.464896556315592,38.0
3.75,31.205671111586444,13.292899759288527,38.0
4.0,31.048719541960686,12.914428061252249,38.0
4.25,30.88887313221143,12.574043832380852,38.0
4.5,30.714185078597513,12.201267929830847,38.0
4.75,30.553940868167906,12.110831080224212,38.0
5.0,30.401989330811944,11.676355478297163,38.0
5.25,30.238964088713576,11.179825866692836,38.0
5.5,30.067528560183803,10.774861748356296,38.0
