n_replicates,running_mean,running_sd,sem,ci_half_width,relative_half_width
2,0.000146811005501275,1.920605040604809e-07,1.3580728481927247e-07,2.6618227824577404e-07,0.0018130948516898644
3,0.00014065024546575,1.0671613573615555e-05,6.161258969414605e-06,1.2076067580052625e-05,0.08585884468287892
4,0.00014182973159895817,9.027013588674008e-06,4.513506794337004e-06,8.846473316900527e-06,0.062373898738771284
5,0.00013940058347394624,9.51940301772246e-06,4.257206450568811e-06,8.34412464311487e-06,0.059857171578298125
6,0.00014248559650414827,1.1384158266211724e-05,4.647563150550991e-06,9.109223775079943e-06,0.06393083931690416
7,0.0001439709872699594,1.1110531773137413e-05,4.199386286486157e-06,8.230797121512868e-06,0.057169831766724875
8,0.00014292116637159018,1.0706356170424643e-05,3.78526852495285e-06,7.419126308907586e-06,0.05191061966019861
9,0.0001413385754878233,1.1083282446569199e-05,3.694427482189733e-06,7.2410778650918765e-06,0.051232141261503765
10,0.0001420342856830553,1.0678505612995098e-05,3.376839974395704e-06,6.61860634981558e-06,0.04659865269843913
